LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea
7560,5,5,1040,1,0,3,6,0,286
8263,6,5,1012,1,0,2,6,1,308
10084,7,5,1552,2,0,3,7,0,782
8926,4,3,672,1,0,3,5,0,288
9405,5,9,698,1,0,2,4,0,0
9125,7,5,384,2,1,3,7,1,392
10434,4,5,1005,1,0,2,5,1,672
3684,7,5,1373,2,0,2,7,1,660
14572,7,5,1530,2,0,3,7,1,630
11796,7,5,847,2,1,4,8,1,434
7200,5,5,936,1,0,2,4,0,672
7804,4,3,1122,2,0,4,7,2,576
10712,5,5,974,1,0,3,5,0,0
9900,6,4,1008,2,0,5,8,0,205
9828,8,5,1128,2,1,3,8,1,466
8773,6,5,916,2,1,3,7,1,460
6180,6,5,960,1,0,2,5,1,180
9600,6,5,1032,1,0,3,6,0,288
6342,5,8,780,1,0,2,6,0,0
9819,6,5,1567,2,0,2,5,2,714
8731,5,5,915,1,0,3,6,1,495
7350,5,7,952,1,0,2,4,0,840
10304,5,7,780,2,1,4,9,1,484
9965,8,5,1466,3,0,4,11,1,1052
9000,5,3,1006,1,0,3,5,0,0
12180,4,4,672,1,0,2,5,0,280
6240,5,6,1042,1,0,3,8,1,225
11200,6,5,1298,2,0,3,5,1,403
12000,7,7,704,1,1,3,7,1,234
5700,7,7,572,1,0,2,5,1,288
9000,7,9,650,1,0,3,7,0,324
8280,6,5,932,1,0,2,4,1,306
17755,5,4,1466,1,1,3,6,2,528
14115,6,7,1073,1,0,2,6,1,470
5890,6,8,816,1,0,2,5,0,432
13700,7,6,864,1,2,4,8,2,492
10768,5,8,1437,2,0,3,6,1,528
9350,5,8,1219,2,0,3,6,1,502
5001,7,5,1314,2,0,2,6,1,626
11932,8,5,1580,2,0,3,7,0,830
9120,6,6,901,2,1,4,8,1,540
2280,6,5,855,2,1,3,7,1,440
14778,6,7,1296,1,0,3,7,1,924
8724,5,5,894,1,0,3,5,1,450
12900,4,4,1198,0,2,0,6,0,400
16157,5,7,1360,1,1,2,5,1,588
9541,7,5,1502,2,0,3,7,0,644
10475,8,5,1694,2,0,3,7,0,776
10852,6,5,959,2,1,3,7,1,472
13728,6,7,1127,2,0,4,7,2,540
35760,10,5,1930,3,1,4,10,1,807
9880,6,6,1096,1,0,3,6,1,358
9120,6,6,1261,1,0,3,6,1,433
4017,7,5,625,2,1,2,5,0,625
18030,5,6,1598,3,0,3,12,1,0
16560,6,8,952,2,1,4,9,1,360
10678,8,5,1683,2,1,4,9,1,541
6951,5,5,876,1,0,3,5,0,264
3950,6,8,818,1,0,3,5,0,210
7681,5,6,731,1,1,3,7,1,186
8335,5,5,0,1,0,3,5,1,0
11170,7,5,1216,2,1,4,8,0,693
5587,8,5,1600,2,0,2,5,1,482
15623,10,5,2396,3,1,4,10,2,813
10800,5,6,1120,1,0,2,5,1,720
35133,5,4,1572,1,1,3,5,2,995
9738,5,7,784,1,0,4,7,0,392
10615,3,5,978,2,0,3,7,0,420
12461,8,5,1624,2,0,2,5,1,757
8935,7,5,831,2,1,3,7,0,493
7500,7,5,994,2,1,3,7,1,442
32463,4,4,1249,1,0,3,7,1,1356
2645,8,5,776,2,1,2,5,0,492
9600,5,8,702,1,0,3,6,0,250
4500,6,5,1224,2,0,2,5,0,402
9364,6,7,663,1,1,4,7,0,299
8029,6,5,728,2,1,3,8,0,400
14054,7,5,879,2,1,4,9,1,660
8850,7,6,815,1,0,3,7,1,225
9100,7,5,1212,2,0,3,6,0,573
11235,4,5,1051,1,1,3,6,1,459
9353,4,5,864,1,0,3,5,0,280
10400,7,5,866,2,1,3,6,0,546
6000,5,8,884,1,0,3,5,1,216
9750,7,5,1630,2,0,3,6,1,451
10140,5,6,1056,1,1,3,6,0,495
14684,7,7,2158,2,0,3,7,1,701
8900,4,4,1056,1,0,2,5,0,384
9135,6,5,1682,2,0,3,7,0,544
7763,5,7,931,1,0,3,6,0,506
10182,8,5,1660,2,0,3,8,1,500
11218,6,5,1055,2,1,3,8,1,462
12134,8,7,559,2,0,4,8,0,492
9340,4,6,672,1,0,2,4,0,234
10246,4,9,648,0,0,0,3,0,364
10205,5,5,925,1,0,3,6,0,300
7094,5,5,894,1,0,3,5,0,384
8930,6,5,0,2,0,4,8,0,539
8640,8,5,1300,2,0,3,6,0,552
6240,4,5,0,1,0,2,3,0,0
1680,6,5,672,1,1,3,7,0,0
7800,5,5,912,1,0,2,5,0,288
8250,5,5,952,1,0,3,5,1,322
10496,6,6,1040,2,0,3,7,1,315
10680,5,3,2136,2,0,4,7,0,528
15384,7,5,788,2,1,3,8,1,388
10482,6,8,588,1,0,3,6,0,264
14598,6,5,894,2,1,4,9,1,668
8872,5,8,912,1,0,2,5,0,576
8769,9,5,1702,1,1,1,7,1,1052
7910,5,5,1075,2,0,4,7,0,404
18890,5,5,1361,2,2,4,12,1,600
7728,5,6,1106,1,0,3,6,0,540
9842,4,5,0,2,0,2,6,0,462
12160,5,5,1188,1,0,3,6,0,531
8525,5,6,940,1,1,4,7,0,0
13132,5,5,747,1,1,4,9,0,180
2628,7,5,764,2,1,2,6,0,474
12393,7,5,847,2,1,4,8,1,434
13072,6,5,1141,1,1,3,6,0,484
9037,8,5,1476,2,0,2,6,1,472
8158,7,5,884,2,1,3,8,0,543
9849,7,6,1689,2,0,3,7,0,954
10625,7,6,1053,2,0,3,6,2,528
13891,10,5,2076,2,1,2,7,1,850
11435,8,7,792,1,0,3,7,2,400
12090,6,7,585,3,1,3,7,1,477
8125,7,5,756,2,1,3,6,0,615
12328,6,5,1012,1,0,3,6,0,888
9600,6,5,735,1,1,3,8,1,396
7200,5,7,876,1,0,3,6,0,276
11160,7,5,2110,2,1,3,8,2,522
3136,7,5,1405,2,0,2,6,1,478
9858,5,6,864,1,0,3,5,0,288
17542,7,7,1192,2,1,3,9,2,518
6931,7,5,746,2,1,3,7,1,397
6240,6,6,884,1,0,3,6,1,560
14303,8,5,1986,2,0,2,7,1,691
4060,5,8,864,1,0,2,4,0,0
9587,7,5,856,2,0,2,5,0,400
9750,6,8,1054,1,1,3,6,0,460
24682,6,5,841,2,1,3,7,1,502
9600,5,6,1050,1,0,2,5,0,338
11250,4,5,1104,1,0,5,8,2,304
13515,6,6,764,1,0,3,8,1,520
4060,6,5,1405,2,0,2,5,0,511
3735,7,5,691,2,1,3,6,0,506
10120,7,4,925,1,1,4,9,1,308
13214,9,5,2002,2,0,3,10,1,746
14100,8,9,728,3,1,4,11,2,1014
11344,5,5,874,1,1,3,7,0,315
23595,7,6,1332,0,1,0,4,1,586
9156,6,7,1489,2,0,3,7,1,462
13526,5,6,935,1,0,3,5,0,288
11512,6,7,1019,1,0,2,5,1,312
5362,5,6,661,2,0,3,8,1,552
11345,5,5,928,2,0,4,10,0,400
12936,6,6,723,1,1,3,6,1,497
17871,6,5,1680,1,1,3,7,1,480
9473,8,5,1128,2,1,3,7,1,577
7500,4,4,698,1,0,2,6,0,528
9808,7,5,1573,2,0,3,6,0,544
8049,7,5,1309,2,0,2,6,1,484
8800,5,7,1040,2,0,3,5,0,484
9400,6,5,912,2,2,4,8,0,0
9638,6,7,804,2,0,4,10,1,336
6000,6,6,780,1,0,4,6,1,280
9790,6,5,1328,1,1,3,6,2,528
36500,5,5,1624,2,0,4,7,0,390
5664,8,5,1501,2,0,2,5,1,499
11065,8,5,1085,2,1,3,8,1,753
14112,5,7,1152,1,0,3,6,1,484
1680,5,7,630,2,1,3,6,0,264
6600,5,4,994,2,0,4,11,0,432
10140,7,5,832,2,1,4,8,1,528
8172,5,7,864,1,0,2,5,0,572
8400,5,5,1052,1,1,3,5,0,288
8700,5,6,1120,2,0,3,6,0,525
3675,6,5,547,2,0,2,5,0,525
63887,10,5,6110,2,1,3,12,3,1418
7500,5,7,1246,1,1,3,6,0,305
10762,7,5,978,2,1,3,9,1,490
7500,6,7,771,1,0,3,7,2,213
10120,8,5,1165,2,1,4,8,1,844
8688,7,5,1616,2,0,3,7,0,834
3363,7,5,976,2,0,3,7,0,380
13173,9,5,1652,2,0,2,6,2,840
6955,7,5,1368,2,0,2,6,1,474
8072,5,5,990,1,0,3,5,0,480
12000,5,7,924,1,0,2,6,0,528
7153,6,5,1278,2,0,3,6,0,496
17500,7,8,1902,2,0,3,7,2,567
8814,7,5,1274,2,0,3,6,0,508
9572,8,5,1453,2,1,4,9,1,750
14774,9,5,1393,2,1,4,10,1,779
8190,4,6,948,1,0,3,5,1,280
11075,6,5,952,2,1,4,9,2,576
10226,8,5,1622,2,0,3,8,1,860
4230,7,5,1352,2,0,2,5,1,466
14781,8,5,1753,2,0,3,7,1,748
10215,4,5,864,1,0,3,5,0,248
8400,6,3,1478,1,1,3,6,2,442
6627,3,6,0,1,0,2,4,0,287
10186,7,5,750,2,1,3,8,1,564
5330,4,7,420,1,0,2,5,0,0
9986,8,5,1795,2,0,2,7,1,895
3636,4,4,796,1,0,2,5,0,0
4270,3,6,544,1,0,3,6,0,0
6600,5,9,816,1,0,3,5,1,264
10440,6,7,1510,2,0,5,8,2,520
9084,7,5,935,2,1,3,8,1,462
10000,8,5,1588,2,0,3,7,1,825
10780,5,5,911,1,0,3,6,0,576
8877,4,6,816,1,0,2,3,1,288
7200,5,6,803,1,1,2,6,0,297
2368,5,6,765,1,1,3,7,0,440
9650,6,5,1350,2,0,2,6,1,630
9246,5,5,1656,2,0,4,8,0,506
4118,4,4,693,1,0,2,4,0,0
13450,7,5,916,2,1,3,8,0,492
9560,5,7,864,1,0,3,5,0,288
8294,4,5,858,1,0,3,5,0,480
13695,6,5,1114,1,0,3,6,0,576
9375,8,5,1284,2,1,3,7,1,647
7558,6,6,896,1,1,3,9,1,342
11103,7,5,728,2,1,3,8,1,440
6000,4,4,960,1,0,2,5,0,308
20781,7,7,1568,2,0,3,9,1,508
15306,8,5,1732,2,0,3,7,1,712
16196,7,5,1482,2,0,3,5,1,514
5250,8,5,684,2,0,4,8,0,0
11643,5,5,1248,2,2,6,12,0,968
9247,6,6,858,1,1,4,8,1,490
6000,6,9,698,1,0,2,4,0,624
14720,8,5,2033,2,1,4,9,1,666
10316,7,5,992,2,1,3,7,1,839
10192,7,6,570,3,0,4,8,1,487
9477,5,5,864,1,0,3,5,0,264
12537,5,6,1078,1,1,3,6,1,500
2117,6,5,756,2,1,3,5,0,440
16737,9,5,1980,2,0,3,8,1,770
9842,5,6,612,3,1,4,8,0,621
16158,7,5,1530,2,0,3,7,1,430
12513,4,4,715,2,0,4,7,1,368
8499,6,5,616,2,1,3,6,1,432
3180,7,5,600,2,1,2,4,0,480
7500,7,5,814,2,1,3,7,0,663
9179,7,5,873,2,1,3,7,0,588
2665,5,6,757,2,0,4,6,1,336
4435,6,5,848,1,0,1,4,0,420
10635,8,5,1657,2,0,3,8,1,502
5400,4,6,840,1,0,2,6,0,338
9600,6,6,992,1,0,3,8,1,377
9750,7,6,1108,2,1,3,8,1,583
11400,10,5,2633,2,1,2,8,2,804
10625,7,5,1026,2,1,3,9,1,936
10991,8,5,1571,2,0,3,7,1,722
6292,6,5,768,1,0,2,4,0,160
10998,5,5,984,2,0,3,6,0,660
1953,6,5,483,1,1,2,5,0,264
9735,5,5,384,2,1,3,7,0,400
8212,3,3,864,1,0,2,5,0,200
12925,6,7,1205,2,1,4,7,2,550
7200,7,7,596,1,1,4,8,0,576
25339,5,7,816,2,0,3,7,0,576
9060,6,5,560,1,0,2,6,0,280
5436,4,8,796,1,0,3,7,0,240
16692,7,5,1392,3,1,5,12,2,564
8520,6,7,714,2,0,5,10,1,216
14892,9,5,1746,2,0,3,7,2,758
6000,6,6,735,1,0,3,6,1,440
9100,7,5,1525,2,0,3,6,0,541
8944,5,5,1584,2,0,4,8,0,792
7838,5,5,864,1,0,3,6,1,288
10800,6,7,482,2,0,3,7,1,672
4045,7,5,1356,2,0,2,6,1,648
12665,8,5,1094,2,1,4,9,1,642
57200,5,5,747,1,0,3,7,2,572
6120,5,8,939,1,1,4,8,0,180
7200,5,4,1208,1,1,3,7,0,240
6171,6,6,976,2,1,3,7,1,216
6000,6,7,862,1,0,3,5,1,208
7415,6,5,839,2,1,3,8,1,398
6762,7,5,1286,2,0,2,6,1,662
15256,8,5,1485,2,0,3,6,0,754
10410,3,4,672,1,0,3,6,0,936
3842,8,5,1594,2,0,2,5,1,482
8445,5,7,768,1,0,2,5,0,396
8780,5,5,833,1,0,3,5,0,0
7740,4,7,622,1,0,3,6,0,528
20544,7,6,791,2,1,3,7,1,542
12420,7,5,944,2,1,3,6,0,622